"","genus","common_name1","nutrient","id.x","food_desc","food_group","refuse","notes","value","units.x","trace","units.y","units","id.y","common_name2","scientific_name1","scientific_name2","family","order","class","phylum","kingdom","algae_type"
"23","analipus","matsumo","zinc","09035","Algae, ""Matsumo"", dried","Algae","0",NA,5.2,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"24","analipus","matsumo","folate","09035","Algae, ""Matsumo"", dried","Algae","0",NA,720,"µg/100 g",FALSE,"µg/100 g","µg/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"25","analipus","matsumo","potassium","09035","Algae, ""Matsumo"", dried","Algae","0",NA,3800,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"26","analipus","matsumo","iron","09035","Algae, ""Matsumo"", dried","Algae","0",NA,11.1,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"27","analipus","matsumo","beta cryptoxanthin","09035","Algae, ""Matsumo"", dried","Algae","0",NA,110,"µg/100 g",FALSE,"µg/100 g","µg/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"28","analipus","matsumo","vitamin k","09035","Algae, ""Matsumo"", dried","Algae","0",NA,1100,"µg/100 g",FALSE,"µg/100 g","µg/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"29","analipus","matsumo","riboflavin","09035","Algae, ""Matsumo"", dried","Algae","0",NA,1.61,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"30","analipus","matsumo","vitamin b 12","09035","Algae, ""Matsumo"", dried","Algae","0",NA,0,"µg/100 g",FALSE,"µg/100 g","µg/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"31","analipus","matsumo","carbohydrate total calculated by difference","09035","Algae, ""Matsumo"", dried","Algae","0",NA,40.8,"g/100 g",FALSE,"g/100 g","g/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"32","analipus","matsumo","sodium","09035","Algae, ""Matsumo"", dried","Algae","0",NA,1300,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"33","analipus","matsumo","gamma tocopherol","09035","Algae, ""Matsumo"", dried","Algae","0",NA,0.2,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"34","analipus","matsumo","energy kcal","09035","Algae, ""Matsumo"", dried","Algae","0",NA,159,"kcal/100 g",FALSE,"kcal/100 g","kcal/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"35","analipus","matsumo","ascorbic acid","09035","Algae, ""Matsumo"", dried","Algae","0",NA,5,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"36","analipus","matsumo","protein calculated from reference nitrogen","09035","Algae, ""Matsumo"", dried","Algae","0",NA,27.9,"g/100 g",FALSE,"g/100 g","g/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"37","analipus","matsumo","alpha tocopherol","09035","Algae, ""Matsumo"", dried","Algae","0",NA,13.2,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"38","analipus","matsumo","manganese","09035","Algae, ""Matsumo"", dried","Algae","0",NA,1.25,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"39","caulerpa","green caviar","fatty acid 24 0","09012","Algae, Green caviar, raw","Algae","0",NA,1,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"40","caulerpa","green caviar","fatty acid 24 0","09012","Algae, Green caviar, raw","Algae","0",NA,1,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"41","caulerpa","green caviar","fatty acid poly unsaturated","09012","Algae, Green caviar, raw","Algae","0",NA,0.02,"g/100 g",FALSE,"g/100 g","g/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"42","caulerpa","green caviar","fatty acid poly unsaturated","09012","Algae, Green caviar, raw","Algae","0",NA,0.02,"g/100 g",FALSE,"g/100 g","g/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"43","caulerpa","green caviar","fatty acid 20 4 n 6","09012","Algae, Green caviar, raw","Algae","0",NA,1,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"44","caulerpa","green caviar","fatty acid 20 4 n 6","09012","Algae, Green caviar, raw","Algae","0",NA,1,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"45","caulerpa","green caviar","fatty acid 20 3 n 6","09012","Algae, Green caviar, raw","Algae","0",NA,0,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"46","caulerpa","green caviar","fatty acid 20 3 n 6","09012","Algae, Green caviar, raw","Algae","0",NA,0,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"47","caulerpa","green caviar","protein calculated from reference nitrogen","09012","Algae, Green caviar, raw","Algae","0",NA,0.5,"g/100 g",FALSE,"g/100 g","g/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"48","caulerpa","green caviar","protein calculated from reference nitrogen","09012","Algae, Green caviar, raw","Algae","0",NA,0.5,"g/100 g",FALSE,"g/100 g","g/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"49","caulerpa","green caviar","copper","09012","Algae, Green caviar, raw","Algae","0",NA,0.01,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"50","caulerpa","green caviar","copper","09012","Algae, Green caviar, raw","Algae","0",NA,0.01,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"51","caulerpa","green caviar","chromium","09012","Algae, Green caviar, raw","Algae","0",NA,0,"µg/100 g",FALSE,"µg/100 g","µg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"52","caulerpa","green caviar","chromium","09012","Algae, Green caviar, raw","Algae","0",NA,0,"µg/100 g",FALSE,"µg/100 g","µg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"53","caulerpa","green caviar","fatty acid 17 0","09012","Algae, Green caviar, raw","Algae","0",NA,0,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"54","caulerpa","green caviar","fatty acid 17 0","09012","Algae, Green caviar, raw","Algae","0",NA,0,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"55","caulerpa","green caviar","fatty acid 18 0","09012","Algae, Green caviar, raw","Algae","0",NA,0,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"56","caulerpa","green caviar","fatty acid 18 0","09012","Algae, Green caviar, raw","Algae","0",NA,0,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"57","caulerpa","green caviar","fatty acid saturated","09012","Algae, Green caviar, raw","Algae","0",NA,0.02,"g/100 g",FALSE,"g/100 g","g/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"58","caulerpa","green caviar","fatty acid saturated","09012","Algae, Green caviar, raw","Algae","0",NA,0.02,"g/100 g",FALSE,"g/100 g","g/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"59","caulerpa","green caviar","fatty acids total mono unsaturated","09012","Algae, Green caviar, raw","Algae","0",NA,0,"g/100 g",FALSE,"g/100 g","g/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"60","caulerpa","green caviar","fatty acids total mono unsaturated","09012","Algae, Green caviar, raw","Algae","0",NA,0,"g/100 g",FALSE,"g/100 g","g/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"61","caulerpa","green caviar","fatty acid 16 0","09012","Algae, Green caviar, raw","Algae","0",NA,15,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"62","caulerpa","green caviar","fatty acid 16 0","09012","Algae, Green caviar, raw","Algae","0",NA,15,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"63","caulerpa","green caviar","molybdenum","09012","Algae, Green caviar, raw","Algae","0",NA,0,"µg/100 g",FALSE,"µg/100 g","µg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"64","caulerpa","green caviar","molybdenum","09012","Algae, Green caviar, raw","Algae","0",NA,0,"µg/100 g",FALSE,"µg/100 g","µg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"65","caulerpa","green caviar","fatty acid 14 1","09012","Algae, Green caviar, raw","Algae","0",NA,0,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"66","caulerpa","green caviar","fatty acid 14 1","09012","Algae, Green caviar, raw","Algae","0",NA,0,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"67","caulerpa","green caviar","fatty acid 16 3","09012","Algae, Green caviar, raw","Algae","0",NA,5,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"68","caulerpa","green caviar","fatty acid 16 3","09012","Algae, Green caviar, raw","Algae","0",NA,5,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"69","caulerpa","green caviar","calcium","09012","Algae, Green caviar, raw","Algae","0",NA,34,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"70","caulerpa","green caviar","calcium","09012","Algae, Green caviar, raw","Algae","0",NA,34,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"71","caulerpa","green caviar","vitamin k","09012","Algae, Green caviar, raw","Algae","0",NA,35,"µg/100 g",FALSE,"µg/100 g","µg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"72","caulerpa","green caviar","vitamin k","09012","Algae, Green caviar, raw","Algae","0",NA,35,"µg/100 g",FALSE,"µg/100 g","µg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"73","caulerpa","green caviar","vitamin b 12","09012","Algae, Green caviar, raw","Algae","0",NA,0,"µg/100 g",FALSE,"µg/100 g","µg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"74","caulerpa","green caviar","vitamin b 12","09012","Algae, Green caviar, raw","Algae","0",NA,0,"µg/100 g",FALSE,"µg/100 g","µg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
