"","sciname","kingdom","phylum","class","order","family","genus","common_name","food_desc","food_group","refuse","yield","notes","acetic acid","alanine","alpha carotene","alpha tocopherol","amino acids total","amino acids total aromatic","amino acids total sulphur containing","ammonia","ammonia derived from non proteinous compounds","arginine","ascorbic acid","ash","aspartic acid","beta carotene","beta carotene equivalents","beta cryptoxanthin","beta tocopherol","biotin","calcium","carbohydrate available expressed in mono saccharide equivalents","carbohydrate total calculated by difference","cholesterol","chromium","cooking oil","copper","cystine","delta tocopherol","dietary fiber total","energy kcal","energy kj","fatty acid 10 0","fatty acid 10 1","fatty acid 12 0","fatty acid 14 0","fatty acid 14 1","fatty acid 15 0","fatty acid 15 0 anteiso acid","fatty acid 15 1","fatty acid 16 0","fatty acid 16 1","fatty acid 16 2","fatty acid 16 3","fatty acid 16 4","fatty acid 17 0","fatty acid 17 1","fatty acid 18 0","fatty acid 18 1 n 7 cis","fatty acid 18 1 n 9 cis","fatty acid 18 1 undifferentiated","fatty acid 18 2 n 6","fatty acid 18 3 n 3","fatty acid 18 3 n 6","fatty acid 18 4 n 3","fatty acid 20 0","fatty acid 20 1","fatty acid 20 2 n 6","fatty acid 20 3 n 6","fatty acid 20 4 n 3","fatty acid 20 4 n 6","fatty acid 20 5 n 3","fatty acid 21 5 n 3","fatty acid 22 0","fatty acid 22 1","fatty acid 22 2","fatty acid 22 4 n 6","fatty acid 22 5 n 3","fatty acid 22 5 n 6","fatty acid 22 6 n 3","fatty acid 24 0","fatty acid 24 1","fatty acid 4 0","fatty acid 6 0","fatty acid 7 0","fatty acid 8 0","fatty acid mono unsaturated","fatty acid poly unsaturated","fatty acid saturated","fatty acid triacyl glycerol equivalents","fatty acid unidentified","fatty acids total","fatty acids total mono unsaturated","fatty acids total n 3 poly unsaturated","fatty acids total n 6 poly unsaturated","fatty acids total poly unsaturated","fatty acids total saturated","folate","gamma tocopherol","glutamic acid","glycine","histidine","iodine","iron","isoleucine","leucine","lipid y","lysine","magnesium","manganese","methionine","molybdenum","na","niacin","organic acids total","pantothenic acid","phenylalanine","phosphorus","potassium","proline","protein","protein calculated as the sum of amino acid residues","protein calculated from reference nitrogen","protein the sum of amino acid residues","remarks x","retinol","retinol activity equivalents","riboflavin","salt equivalents","selenium","serine","sodium","thiamin","threonine","triacyl glycerol equivalents","tryptophan","tyrosine","valine","vitamin b 12","vitamin b 6","vitamin d","vitamin k","water","zinc"
"83","Saccharina japonica","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Tsukudani"" (simmered in soy sauce and sugar)",9,"0","-","Sample: with sesame seeds","0.6","300","0","0.1","5300","300","130","140",NA,"250","Tr","9.5","450","56","56","0","0","4.7","150","20.6","33.299999999999997","0","6",NA,"0.06","56","0","6.8","168","704","0","0","0","11","0","Tr",NA,"0","98","5","Tr","Tr","Tr","1","Tr","47",NA,NA,"300","290","5","4","6","6","7","2","1","Tr","16","7","0","1","3","0","0","0","1","Tr","0","0",NA,NA,NA,NA,"0.32","0.33","0.16","0.9",NA,"0.81","0.32","0.02","0.31","0.33","0.16","15","0.1","1700","380","100","11000","1.3","210","340","1.0","230","98","0.46","77","19","Sample: with sesame seeds","0.6","1.0","0.12","220","120","770","270","6.0","4.5999999999999996","6.0","4.5999999999999996","Sample: with sesame seeds","0","5","0.05","7.4","3","230","2900","0.05","190","0.9","30","79","270","0","0.05","0","310","49.6","0.5"
"84","Saccharina ochotensis","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Tsukudani"" (simmered in soy sauce and sugar)",9,"0","-","Sample: with sesame seeds","0.6","300","0","0.1","5300","300","130","140",NA,"250","Tr","9.5","450","56","56","0","0","4.7","150","20.6","33.299999999999997","0","6",NA,"0.06","56","0","6.8","168","704","0","0","0","11","0","Tr",NA,"0","98","5","Tr","Tr","Tr","1","Tr","47",NA,NA,"300","290","5","4","6","6","7","2","1","Tr","16","7","0","1","3","0","0","0","1","Tr","0","0",NA,NA,NA,NA,"0.32","0.33","0.16","0.9",NA,"0.81","0.32","0.02","0.31","0.33","0.16","15","0.1","1700","380","100","11000","1.3","210","340","1.0","230","98","0.46","77","19","Sample: with sesame seeds","0.6","1.0","0.12","220","120","770","270","6.0","4.5999999999999996","6.0","4.5999999999999996","Sample: with sesame seeds","0","5","0.05","7.4","3","230","2900","0.05","190","0.9","30","79","270","0","0.05","0","310","49.6","0.5"
"85","Saccharina religiosa　","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Tsukudani"" (simmered in soy sauce and sugar)",9,"0","-","Sample: with sesame seeds","0.6","300","0","0.1","5300","300","130","140",NA,"250","Tr","9.5","450","56","56","0","0","4.7","150","20.6","33.299999999999997","0","6",NA,"0.06","56","0","6.8","168","704","0","0","0","11","0","Tr",NA,"0","98","5","Tr","Tr","Tr","1","Tr","47",NA,NA,"300","290","5","4","6","6","7","2","1","Tr","16","7","0","1","3","0","0","0","1","Tr","0","0",NA,NA,NA,NA,"0.32","0.33","0.16","0.9",NA,"0.81","0.32","0.02","0.31","0.33","0.16","15","0.1","1700","380","100","11000","1.3","210","340","1.0","230","98","0.46","77","19","Sample: with sesame seeds","0.6","1.0","0.12","220","120","770","270","6.0","4.5999999999999996","6.0","4.5999999999999996","Sample: with sesame seeds","0","5","0.05","7.4","3","230","2900","0.05","190","0.9","30","79","270","0","0.05","0","310","49.6","0.5"
"86","Saccharina longissima","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Tsukudani"" (simmered in soy sauce and sugar)",9,"0","-","Sample: with sesame seeds","0.6","300","0","0.1","5300","300","130","140",NA,"250","Tr","9.5","450","56","56","0","0","4.7","150","20.6","33.299999999999997","0","6",NA,"0.06","56","0","6.8","168","704","0","0","0","11","0","Tr",NA,"0","98","5","Tr","Tr","Tr","1","Tr","47",NA,NA,"300","290","5","4","6","6","7","2","1","Tr","16","7","0","1","3","0","0","0","1","Tr","0","0",NA,NA,NA,NA,"0.32","0.33","0.16","0.9",NA,"0.81","0.32","0.02","0.31","0.33","0.16","15","0.1","1700","380","100","11000","1.3","210","340","1.0","230","98","0.46","77","19","Sample: with sesame seeds","0.6","1.0","0.12","220","120","770","270","6.0","4.5999999999999996","6.0","4.5999999999999996","Sample: with sesame seeds","0","5","0.05","7.4","3","230","2900","0.05","190","0.9","30","79","270","0","0.05","0","310","49.6","0.5"
"87","Saccharina sculpera","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Kizami-kombu"" (dried and cut into thin strips)",9,"0","-",NA,NA,"380","0","0.3","5100","310","210",NA,NA,"180","0","32.6","660","61","61","0","0","12.1","940","0.4","46.0","0","33",NA,"7.0000000000000007E-2","120","0","39.1","105","439",NA,NA,NA,"25","1","1",NA,NA,"75","9",NA,NA,NA,"0","Tr","8",NA,NA,"65","18","3","2","3","2","2","8","2","Tr","8","5",NA,NA,"0",NA,NA,NA,NA,NA,NA,"Tr",NA,NA,NA,NA,"0.08","0.05","0.11","0.2","2","0.24","0.08","0.01","0.04","0.05","0.11","17","0","1100","270","93","230000","8.6","190","340","0.5","240","720","0.34","90","14","Energy: tentative value","1.2",NA,"0.09","210","300","8200","280","5.4","4.3","5.4","4.3","Estimation from 09017","0","5","0.33","10.9","2","210","4300","0.15","230","0.2","62","100","260","0","0.01","0","91","15.5","1.1000000000000001"
"88","Saccharina diabolica","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Kizami-kombu"" (dried and cut into thin strips)",9,"0","-",NA,NA,"380","0","0.3","5100","310","210",NA,NA,"180","0","32.6","660","61","61","0","0","12.1","940","0.4","46.0","0","33",NA,"7.0000000000000007E-2","120","0","39.1","105","439",NA,NA,NA,"25","1","1",NA,NA,"75","9",NA,NA,NA,"0","Tr","8",NA,NA,"65","18","3","2","3","2","2","8","2","Tr","8","5",NA,NA,"0",NA,NA,NA,NA,NA,NA,"Tr",NA,NA,NA,NA,"0.08","0.05","0.11","0.2","2","0.24","0.08","0.01","0.04","0.05","0.11","17","0","1100","270","93","230000","8.6","190","340","0.5","240","720","0.34","90","14","Energy: tentative value","1.2",NA,"0.09","210","300","8200","280","5.4","4.3","5.4","4.3","Estimation from 09017","0","5","0.33","10.9","2","210","4300","0.15","230","0.2","62","100","260","0","0.01","0","91","15.5","1.1000000000000001"
"89","Saccharina angustata","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Kizami-kombu"" (dried and cut into thin strips)",9,"0","-",NA,NA,"380","0","0.3","5100","310","210",NA,NA,"180","0","32.6","660","61","61","0","0","12.1","940","0.4","46.0","0","33",NA,"7.0000000000000007E-2","120","0","39.1","105","439",NA,NA,NA,"25","1","1",NA,NA,"75","9",NA,NA,NA,"0","Tr","8",NA,NA,"65","18","3","2","3","2","2","8","2","Tr","8","5",NA,NA,"0",NA,NA,NA,NA,NA,NA,"Tr",NA,NA,NA,NA,"0.08","0.05","0.11","0.2","2","0.24","0.08","0.01","0.04","0.05","0.11","17","0","1100","270","93","230000","8.6","190","340","0.5","240","720","0.34","90","14","Energy: tentative value","1.2",NA,"0.09","210","300","8200","280","5.4","4.3","5.4","4.3","Estimation from 09017","0","5","0.33","10.9","2","210","4300","0.15","230","0.2","62","100","260","0","0.01","0","91","15.5","1.1000000000000001"
"90","Saccharina japonica","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Kizami-kombu"" (dried and cut into thin strips)",9,"0","-",NA,NA,"380","0","0.3","5100","310","210",NA,NA,"180","0","32.6","660","61","61","0","0","12.1","940","0.4","46.0","0","33",NA,"7.0000000000000007E-2","120","0","39.1","105","439",NA,NA,NA,"25","1","1",NA,NA,"75","9",NA,NA,NA,"0","Tr","8",NA,NA,"65","18","3","2","3","2","2","8","2","Tr","8","5",NA,NA,"0",NA,NA,NA,NA,NA,NA,"Tr",NA,NA,NA,NA,"0.08","0.05","0.11","0.2","2","0.24","0.08","0.01","0.04","0.05","0.11","17","0","1100","270","93","230000","8.6","190","340","0.5","240","720","0.34","90","14","Energy: tentative value","1.2",NA,"0.09","210","300","8200","280","5.4","4.3","5.4","4.3","Estimation from 09017","0","5","0.33","10.9","2","210","4300","0.15","230","0.2","62","100","260","0","0.01","0","91","15.5","1.1000000000000001"
"91","Saccharina ochotensis","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Kizami-kombu"" (dried and cut into thin strips)",9,"0","-",NA,NA,"380","0","0.3","5100","310","210",NA,NA,"180","0","32.6","660","61","61","0","0","12.1","940","0.4","46.0","0","33",NA,"7.0000000000000007E-2","120","0","39.1","105","439",NA,NA,NA,"25","1","1",NA,NA,"75","9",NA,NA,NA,"0","Tr","8",NA,NA,"65","18","3","2","3","2","2","8","2","Tr","8","5",NA,NA,"0",NA,NA,NA,NA,NA,NA,"Tr",NA,NA,NA,NA,"0.08","0.05","0.11","0.2","2","0.24","0.08","0.01","0.04","0.05","0.11","17","0","1100","270","93","230000","8.6","190","340","0.5","240","720","0.34","90","14","Energy: tentative value","1.2",NA,"0.09","210","300","8200","280","5.4","4.3","5.4","4.3","Estimation from 09017","0","5","0.33","10.9","2","210","4300","0.15","230","0.2","62","100","260","0","0.01","0","91","15.5","1.1000000000000001"
"92","Saccharina religiosa　","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Kizami-kombu"" (dried and cut into thin strips)",9,"0","-",NA,NA,"380","0","0.3","5100","310","210",NA,NA,"180","0","32.6","660","61","61","0","0","12.1","940","0.4","46.0","0","33",NA,"7.0000000000000007E-2","120","0","39.1","105","439",NA,NA,NA,"25","1","1",NA,NA,"75","9",NA,NA,NA,"0","Tr","8",NA,NA,"65","18","3","2","3","2","2","8","2","Tr","8","5",NA,NA,"0",NA,NA,NA,NA,NA,NA,"Tr",NA,NA,NA,NA,"0.08","0.05","0.11","0.2","2","0.24","0.08","0.01","0.04","0.05","0.11","17","0","1100","270","93","230000","8.6","190","340","0.5","240","720","0.34","90","14","Energy: tentative value","1.2",NA,"0.09","210","300","8200","280","5.4","4.3","5.4","4.3","Estimation from 09017","0","5","0.33","10.9","2","210","4300","0.15","230","0.2","62","100","260","0","0.01","0","91","15.5","1.1000000000000001"
"93","Saccharina longissima","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Kizami-kombu"" (dried and cut into thin strips)",9,"0","-",NA,NA,"380","0","0.3","5100","310","210",NA,NA,"180","0","32.6","660","61","61","0","0","12.1","940","0.4","46.0","0","33",NA,"7.0000000000000007E-2","120","0","39.1","105","439",NA,NA,NA,"25","1","1",NA,NA,"75","9",NA,NA,NA,"0","Tr","8",NA,NA,"65","18","3","2","3","2","2","8","2","Tr","8","5",NA,NA,"0",NA,NA,NA,NA,NA,NA,"Tr",NA,NA,NA,NA,"0.08","0.05","0.11","0.2","2","0.24","0.08","0.01","0.04","0.05","0.11","17","0","1100","270","93","230000","8.6","190","340","0.5","240","720","0.34","90","14","Energy: tentative value","1.2",NA,"0.09","210","300","8200","280","5.4","4.3","5.4","4.3","Estimation from 09017","0","5","0.33","10.9","2","210","4300","0.15","230","0.2","62","100","260","0","0.01","0","91","15.5","1.1000000000000001"
"94","Analipus japonicus","chromista","ochrophyta","phaeophyceae","scytosiphonales","scytosiphonaceae","analipus","matsumo","Algae, ""Matsumo"", dried",9,"0","-",NA,NA,NA,"0","13.2",NA,NA,NA,NA,NA,NA,"5","13.8",NA,"30000","30000","110","0.2",NA,"920",NA,"40.799999999999997","1",NA,NA,"0.26",NA,"3.1","28.5","159","665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"720","0.2",NA,NA,NA,NA,"11.1",NA,NA,NA,NA,"700","1.25",NA,NA,"Made into sheets and dried
Energy: tentative value","5.0",NA,"1.24",NA,"530","3800",NA,NA,NA,"27.9",NA,NA,"0","2500","1.61","3.3",NA,NA,"1300","0.48",NA,NA,NA,NA,NA,"0","0.06","0","1100","12.6","5.2"
"95","Nemacystus decipiens","chromista","ochrophyta","phaeophyceae","ectocarpales","chordariaceae","nemacystus","mozuku","Algae, ""Mozuku"", salted products, desalted",9,"0","-","Estimation from 09037",NA,"14","0","0.1","190","18","8.8000000000000007","3.6",NA,"11","0","0.6","21","180","180","0","0",NA,"22",NA,"1.4","0",NA,NA,"0.01","2.8","0","1.4","4","17","0","0","0","3","0","Tr",NA,"0","20","1","0","0","0","Tr","0","1",NA,NA,"7","5","4","0","3","1","0","0","Tr","Tr","6","4","0","1","Tr","0","0","0","0","0","0","0",NA,NA,NA,NA,"0.01","0.02","0.03","0.1",NA,"0.06","0.01","0.01","0.01","0.02","0.03","2","0","22","12","3.8",NA,"0.7","8.6","17","0.1","11","12","0.03","6.0",NA,"Energy: tentative value","Tr",NA,"0","10","2","2","10","0.2","0.2","0.2","0.2",NA,"0","15","0.01","0.2",NA,"10","90","Tr","10","0.1","3.8","7.9","12","0.1","Tr","0","14","97.7","0.3"
"96","Porphyra spp.","plantae","rhodophyta","bangiophyceae","bangiales","bangiaceae","porphyra","purple laver","Algae, purple laver, dried, seasoned and toasted",9,"0","-","Estimation from 09003",NA,"3900","5600","3.7","36000","2500","1200","600",NA,"2000","200","11.3","3400","29000","32000","1200","0",NA,"170","14.3","41.8","21",NA,NA,"0.59","540","0","25.2","359","1501","24",NA,NA,"3",NA,"2",NA,NA,"470","51",NA,NA,NA,NA,NA,"13",NA,NA,"62","37","4",NA,"5","7","58","19","39","17","93","1100",NA,NA,"15",NA,NA,"4",NA,NA,NA,"4",NA,NA,NA,NA,"0.19","1.31","0.52","2.1","55","2.08","0.19","1.13","0.19","1.31","0.52","1600","0","7000","2200","590",NA,"8.1999999999999993","1400","2500","3.5","1800","290","2.35","690",NA,NA,"12.2","0.4","1.28","1400","710","2700","1600","40.0","30.8","40.0","30.8",NA,"0","2700","2.31","4.3",NA,"1600","1700","0.61","1800","2.1","440","1100","2200","58.1","0.51","0","650","3.4","3.7"
"97","Porphyra spp.","plantae","rhodophyta","bangiophyceae","bangiales","bangiaceae","porphyra","purple laver","Algae, purple laver, dried, toasted",9,"0","-",NA,NA,"4400","4100","4.5999999999999996","37000","2800","1500","660",NA,"2300","210","8.3000000000000007","3800","25000","27000","980","0","46.9","280","1.9","44.3","22","6",NA,"0.55000000000000004","620","0","36.0","188","787","26",NA,NA,"3",NA,"2",NA,NA,"500","54",NA,NA,NA,NA,NA,"14",NA,NA,"66","39","4",NA,"5","8","61","20","41","18","98","1200",NA,NA,"15",NA,NA,"4",NA,NA,NA,"4",NA,NA,NA,NA,"0.20","1.39","0.55000000000000004","2.2000000000000002","58","2.20","0.20","1.19","0.20","1.39","0.55000000000000004","1900","0","4600","2200","620","2100","11.4","1500","2800","3.7","1900","300","3.72","830","220","Energy: tentative value","11.7",NA,"1.18","1500","700","2400","1600","41.4","31.2","41.4","31.2",NA,"0","2300","2.33","1.3","9","1800","530","0.69","1900","2.2000000000000002","510","1300","2400","57.6","0.59","0","390","2.2999999999999998","3.6"
"98","Porphyra spp.","plantae","rhodophyta","bangiophyceae","bangiales","bangiaceae","porphyra","purple laver","Algae, purple laver, dried",9,"0","-","Made into sheets and dried",NA,"4200","8800","4.3","35000","2700","1500","830",NA,"2100","160","9.8000000000000007","3500","38000","43000","1900","0","41.4","140","0.5","38.700000000000003","21","5",NA,"0.62","650","0","31.2","173","724","26",NA,NA,"3",NA,"2",NA,NA,"500","54",NA,NA,NA,NA,NA,"14",NA,NA,"66","39","4",NA,"5","8","61","20","41","18","98","1200",NA,NA,"15",NA,NA,"4",NA,NA,NA,"4",NA,NA,NA,NA,"0.20","1.39","0.55000000000000004","2.2000000000000002","58","2.20","0.20","1.19","0.20","1.39","0.55000000000000004","1200","0","4300","2300","550","1400","10.7","1600","2800","3.7","1900","340","2.5099999999999998","850","93","Made into sheets and dried
Energy: tentative value","11.8",NA,"0.93","1400","690","3100","1600","39.4","30.0","39.4","30.0","Made into sheets and dried","0","3600","2.68","1.5","7","1500","610","1.21","1800","2.2000000000000002","480","1200","2400","77.599999999999994","0.61","0","2600","8.4","3.7"
"99","Ulva spp.","plantae","chlorophyta","ulvophyceae","ulvales","ulvaceae","ulva","sea lettuce","Algae, Sea lettuce, dried",9,"0","-",NA,NA,"1800","300","1.1000000000000001","19000","1700","730","460",NA,"1100","25","18.7","2300","2500","2700","27","0","30.7","490",NA,"41.7","1","160",NA,"0.80","350","0","29.1","130","544","0","0","0","2","0","1",NA,"0","100","15","3","6","37","Tr","0","2","32","3","35","20","46","3","48","Tr","Tr","0","1","2","3","1","0","6","Tr","0","0","0","0","0","10","0",NA,NA,NA,NA,"0.05","0.17","0.12","0.4",NA,"0.34","0.05","0.10","0.03","0.17","0.12","180","0","2300","1200","410","2200","5.3","790","1400","0.6","950","3200","17.00","380","23","Energy: tentative value","10.0",NA,"0.44","1100","160","3200","890","22.1","16.5","22.1","16.5",NA,"0","220","0.48","9.9","8","1100","3900","7.0000000000000007E-2","1000","0.4","340","650","1200","1.3","0.09","0","5","16.899999999999999","1.2"
"100","Gelidium elegans","plantae","rhodophyta","florideophyceae","gelidiales","gelidiaceae","gelidium","tengusa","Algae, ""Tengusa"", ""Tokoroten"" (Gelidium jelly)",9,"0","-",NA,NA,"9.5","0","0","100","11","2.8",NA,NA,"2.1","Tr","0.1","9.5","0","0","0","0","Tr","4",NA,"0.6","Tr","Tr",NA,"0.01","0","0","0.6","2","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","12","6.5","0.6","240","0.1","8.5","15",NA,"3.6","4","0.01","2.8","1","Energy: tentative value","0",NA,"0","9.6","1","2","4.3","0.2","0.1","0.2","0.1","Estimation from 09049","0","0","0","0","Tr","2.8","3","0","3.4",NA,"0.4","0.9","10","0","0","0","0","99.1","Tr"
"101","Gelidium elegans","plantae","rhodophyta","florideophyceae","gelidiales","gelidiaceae","gelidium","tengusa","Algae, ""Tengusa"", ""Tokoroten"" (Gelidium jelly)",9,"0","-",NA,NA,"9.5","0","0","100","11","2.8",NA,NA,"2.1","Tr","0.1","9.5","0","0","0","0","Tr","4",NA,"0.6","Tr","Tr",NA,"0.01","0","0","0.6","2","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","12","6.5","0.6","240","0.1","8.5","15",NA,"3.6","4","0.01","2.8","1","Energy: tentative value","0",NA,"0","9.6","1","2","4.3","0.2","0.1","0.2","0.1","Estimation from 09049","0","0","0","0","Tr","2.8","3","0","3.4",NA,"0.4","0.9","10","0","0","0","0","99.1","Tr"
"102","Gelidium elegans","plantae","rhodophyta","florideophyceae","gelidiales","gelidiaceae","gelidium","tengusa","Algae, ""Tengusa"", agar-agar",9,"0","-","Containing strip agar
Estimation from data of the USA",NA,"110",NA,"0","1200","130","33",NA,NA,"25","0","2.8","110",NA,"0",NA,"0",NA,"660",NA,"74.099999999999994","Tr",NA,NA,"0.02","0","0","74.099999999999994","154","644","0",NA,"0","2",NA,NA,NA,NA,"37","6",NA,NA,NA,NA,NA,"2",NA,NA,"6","3","1",NA,"0",NA,"6",NA,NA,NA,NA,"58",NA,NA,"0",NA,NA,"0",NA,"0",NA,NA,"0","0",NA,"0","0.02","0.06","0.04","0.1",NA,"0.12","0.02","0.06","Tr","0.06","0.04","0","0","140","78","6.8",NA,"4.5","100","170","0.2","43","100","3.19","33",NA,"Containing strip agar
Energy: tentative value","0.1",NA,"0.46","120","34","52","52","2.4","1.0","2.4","1.0","Containing strip agar
Estimation from 09049","0","0","0","0.3",NA,"34","130","0.01","41","0.1","5.0","11","120","0","Tr","0","0","20.5","1.5"
"103","Gelidium elegans","plantae","rhodophyta","florideophyceae","gelidiales","gelidiaceae","gelidium","tengusa","Algae, ""Tengusa"", agar-agar",9,"0","-","Containing strip agar
Estimation from data of the USA",NA,"110",NA,"0","1200","130","33",NA,NA,"25","0","2.8","110",NA,"0",NA,"0",NA,"660",NA,"74.099999999999994","Tr",NA,NA,"0.02","0","0","74.099999999999994","154","644","0",NA,"0","2",NA,NA,NA,NA,"37","6",NA,NA,NA,NA,NA,"2",NA,NA,"6","3","1",NA,"0",NA,"6",NA,NA,NA,NA,"58",NA,NA,"0",NA,NA,"0",NA,"0",NA,NA,"0","0",NA,"0","0.02","0.06","0.04","0.1",NA,"0.12","0.02","0.06","Tr","0.06","0.04","0","0","140","78","6.8",NA,"4.5","100","170","0.2","43","100","3.19","33",NA,"Containing strip agar
Energy: tentative value","0.1",NA,"0.46","120","34","52","52","2.4","1.0","2.4","1.0","Containing strip agar
Estimation from 09049","0","0","0","0.3",NA,"34","130","0.01","41","0.1","5.0","11","120","0","Tr","0","0","20.5","1.5"
"104","Gelidium elegans","plantae","rhodophyta","florideophyceae","gelidiales","gelidiaceae","gelidium","tengusa","Algae, ""Tengusa"", agar jelly",9,"0","-",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,"0","Tr",NA,"0","0","0","0","0","10",NA,"1.5","0","1",NA,"Tr",NA,"0","1.5","3","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,"21","0.2",NA,NA,NA,NA,"2","0.04",NA,"0","Jelly containing 2.2 g of agar-agar 
Energy: tentative value","0",NA,"0",NA,"1","1",NA,NA,NA,"Tr",NA,NA,"0","0","0","0","0",NA,"2","Tr",NA,NA,NA,NA,NA,"0","0","0","0","98.5","Tr"
"105","Gelidium elegans","plantae","rhodophyta","florideophyceae","gelidiales","gelidiaceae","gelidium","tengusa","Algae, ""Tengusa"", agar jelly",9,"0","-",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,"0","Tr",NA,"0","0","0","0","0","10",NA,"1.5","0","1",NA,"Tr",NA,"0","1.5","3","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,"21","0.2",NA,NA,NA,NA,"2","0.04",NA,"0","Jelly containing 2.2 g of agar-agar 
Energy: tentative value","0",NA,"0",NA,"1","1",NA,NA,NA,"Tr",NA,NA,"0","0","0","0","0",NA,"2","Tr",NA,NA,NA,NA,NA,"0","0","0","0","98.5","Tr"
"106","Gelidium elegans","plantae","rhodophyta","florideophyceae","gelidiales","gelidiaceae","gelidium","tengusa","Algae, ""Tengusa"", dried",9,"0","-",NA,NA,NA,"130","0.2",NA,NA,NA,NA,NA,NA,"Tr","13.9",NA,"130","200","13","0",NA,"230",NA,"53.8","51",NA,NA,"0.24",NA,"0","47.3","144","602",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93","0",NA,NA,NA,NA,"6.0",NA,NA,NA,NA,"1100","0.63",NA,NA,"Energy: tentative value","2.2000000000000002",NA,"0.28999999999999998",NA,"180","3100",NA,NA,NA,"16.100000000000001",NA,NA,"0","17","0.83","4.8",NA,NA,"1900","0.08",NA,NA,NA,NA,NA,"0.5","0.08","0","730","15.2","3.0"
"107","Gelidium elegans","plantae","rhodophyta","florideophyceae","gelidiales","gelidiaceae","gelidium","tengusa","Algae, ""Tengusa"", dried",9,"0","-",NA,NA,NA,"130","0.2",NA,NA,NA,NA,NA,NA,"Tr","13.9",NA,"130","200","13","0",NA,"230",NA,"53.8","51",NA,NA,"0.24",NA,"0","47.3","144","602",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93","0",NA,NA,NA,NA,"6.0",NA,NA,NA,NA,"1100","0.63",NA,NA,"Energy: tentative value","2.2000000000000002",NA,"0.28999999999999998",NA,"180","3100",NA,NA,NA,"16.100000000000001",NA,NA,"0","17","0.83","4.8",NA,NA,"1900","0.08",NA,NA,NA,NA,NA,"0.5","0.08","0","730","15.2","3.0"
