"","sciname","kingdom","phylum","class","order","family","genus","common_name","food_desc","food_group","refuse","yield","notes","acetic acid","alanine","alpha carotene","alpha tocopherol","amino acids total","amino acids total aromatic","amino acids total sulphur containing","ammonia","ammonia derived from non proteinous compounds","arginine","ascorbic acid","ash","aspartic acid","beta carotene","beta carotene equivalents","beta cryptoxanthin","beta tocopherol","biotin","calcium","carbohydrate available expressed in mono saccharide equivalents","carbohydrate total calculated by difference","cholesterol","chromium","cooking oil","copper","cystine","delta tocopherol","dietary fiber total","energy kcal","energy kj","fatty acid 10 0","fatty acid 10 1","fatty acid 12 0","fatty acid 14 0","fatty acid 14 1","fatty acid 15 0","fatty acid 15 0 anteiso acid","fatty acid 15 1","fatty acid 16 0","fatty acid 16 1","fatty acid 16 2","fatty acid 16 3","fatty acid 16 4","fatty acid 17 0","fatty acid 17 1","fatty acid 18 0","fatty acid 18 1 n 7 cis","fatty acid 18 1 n 9 cis","fatty acid 18 1 undifferentiated","fatty acid 18 2 n 6","fatty acid 18 3 n 3","fatty acid 18 3 n 6","fatty acid 18 4 n 3","fatty acid 20 0","fatty acid 20 1","fatty acid 20 2 n 6","fatty acid 20 3 n 6","fatty acid 20 4 n 3","fatty acid 20 4 n 6","fatty acid 20 5 n 3","fatty acid 21 5 n 3","fatty acid 22 0","fatty acid 22 1","fatty acid 22 2","fatty acid 22 4 n 6","fatty acid 22 5 n 3","fatty acid 22 5 n 6","fatty acid 22 6 n 3","fatty acid 24 0","fatty acid 24 1","fatty acid 4 0","fatty acid 6 0","fatty acid 7 0","fatty acid 8 0","fatty acid mono unsaturated","fatty acid poly unsaturated","fatty acid saturated","fatty acid triacyl glycerol equivalents","fatty acid unidentified","fatty acids total","fatty acids total mono unsaturated","fatty acids total n 3 poly unsaturated","fatty acids total n 6 poly unsaturated","fatty acids total poly unsaturated","fatty acids total saturated","folate","gamma tocopherol","glutamic acid","glycine","histidine","iodine","iron","isoleucine","leucine","lipid y","lysine","magnesium","manganese","methionine","molybdenum","na","niacin","organic acids total","pantothenic acid","phenylalanine","phosphorus","potassium","proline","protein","protein calculated as the sum of amino acid residues","protein calculated from reference nitrogen","protein the sum of amino acid residues","remarks x","retinol","retinol activity equivalents","riboflavin","salt equivalents","selenium","serine","sodium","thiamin","threonine","triacyl glycerol equivalents","tryptophan","tyrosine","valine","vitamin b 12","vitamin b 6","vitamin d","vitamin k","water","zinc"
"73","Saccharina sculpera","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Shio-kombu""  (seasoned and dried)",9,"0","-",NA,NA,NA,"0","0.4",NA,NA,NA,NA,NA,NA,"0","21.6",NA,"390","390","0","Tr",NA,"280",NA,"37.0","0",NA,NA,"0.04",NA,"0.1","13.1","110","460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","0.1",NA,NA,NA,NA,"4.2",NA,NA,NA,NA,"190","0.56000000000000005",NA,NA,"Energy: tentative value","0.8",NA,"0.33",NA,"170","1800",NA,NA,NA,"16.899999999999999",NA,NA,"0","33","0.23","18.0",NA,NA,"7100","0.04",NA,NA,NA,NA,NA,"0","7.0000000000000007E-2","0","74","24.1","0.7"
"74","Saccharina diabolica","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Shio-kombu""  (seasoned and dried)",9,"0","-",NA,NA,NA,"0","0.4",NA,NA,NA,NA,NA,NA,"0","21.6",NA,"390","390","0","Tr",NA,"280",NA,"37.0","0",NA,NA,"0.04",NA,"0.1","13.1","110","460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","0.1",NA,NA,NA,NA,"4.2",NA,NA,NA,NA,"190","0.56000000000000005",NA,NA,"Energy: tentative value","0.8",NA,"0.33",NA,"170","1800",NA,NA,NA,"16.899999999999999",NA,NA,"0","33","0.23","18.0",NA,NA,"7100","0.04",NA,NA,NA,NA,NA,"0","7.0000000000000007E-2","0","74","24.1","0.7"
"75","Saccharina angustata","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Shio-kombu""  (seasoned and dried)",9,"0","-",NA,NA,NA,"0","0.4",NA,NA,NA,NA,NA,NA,"0","21.6",NA,"390","390","0","Tr",NA,"280",NA,"37.0","0",NA,NA,"0.04",NA,"0.1","13.1","110","460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","0.1",NA,NA,NA,NA,"4.2",NA,NA,NA,NA,"190","0.56000000000000005",NA,NA,"Energy: tentative value","0.8",NA,"0.33",NA,"170","1800",NA,NA,NA,"16.899999999999999",NA,NA,"0","33","0.23","18.0",NA,NA,"7100","0.04",NA,NA,NA,NA,NA,"0","7.0000000000000007E-2","0","74","24.1","0.7"
"76","Saccharina japonica","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Shio-kombu""  (seasoned and dried)",9,"0","-",NA,NA,NA,"0","0.4",NA,NA,NA,NA,NA,NA,"0","21.6",NA,"390","390","0","Tr",NA,"280",NA,"37.0","0",NA,NA,"0.04",NA,"0.1","13.1","110","460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","0.1",NA,NA,NA,NA,"4.2",NA,NA,NA,NA,"190","0.56000000000000005",NA,NA,"Energy: tentative value","0.8",NA,"0.33",NA,"170","1800",NA,NA,NA,"16.899999999999999",NA,NA,"0","33","0.23","18.0",NA,NA,"7100","0.04",NA,NA,NA,NA,NA,"0","7.0000000000000007E-2","0","74","24.1","0.7"
"77","Saccharina ochotensis","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Shio-kombu""  (seasoned and dried)",9,"0","-",NA,NA,NA,"0","0.4",NA,NA,NA,NA,NA,NA,"0","21.6",NA,"390","390","0","Tr",NA,"280",NA,"37.0","0",NA,NA,"0.04",NA,"0.1","13.1","110","460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","0.1",NA,NA,NA,NA,"4.2",NA,NA,NA,NA,"190","0.56000000000000005",NA,NA,"Energy: tentative value","0.8",NA,"0.33",NA,"170","1800",NA,NA,NA,"16.899999999999999",NA,NA,"0","33","0.23","18.0",NA,NA,"7100","0.04",NA,NA,NA,NA,NA,"0","7.0000000000000007E-2","0","74","24.1","0.7"
"78","Saccharina religiosa　","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Shio-kombu""  (seasoned and dried)",9,"0","-",NA,NA,NA,"0","0.4",NA,NA,NA,NA,NA,NA,"0","21.6",NA,"390","390","0","Tr",NA,"280",NA,"37.0","0",NA,NA,"0.04",NA,"0.1","13.1","110","460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","0.1",NA,NA,NA,NA,"4.2",NA,NA,NA,NA,"190","0.56000000000000005",NA,NA,"Energy: tentative value","0.8",NA,"0.33",NA,"170","1800",NA,NA,NA,"16.899999999999999",NA,NA,"0","33","0.23","18.0",NA,NA,"7100","0.04",NA,NA,NA,NA,NA,"0","7.0000000000000007E-2","0","74","24.1","0.7"
"79","Saccharina longissima","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Shio-kombu""  (seasoned and dried)",9,"0","-",NA,NA,NA,"0","0.4",NA,NA,NA,NA,NA,NA,"0","21.6",NA,"390","390","0","Tr",NA,"280",NA,"37.0","0",NA,NA,"0.04",NA,"0.1","13.1","110","460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","0.1",NA,NA,NA,NA,"4.2",NA,NA,NA,NA,"190","0.56000000000000005",NA,NA,"Energy: tentative value","0.8",NA,"0.33",NA,"170","1800",NA,NA,NA,"16.899999999999999",NA,NA,"0","33","0.23","18.0",NA,NA,"7100","0.04",NA,NA,NA,NA,NA,"0","7.0000000000000007E-2","0","74","24.1","0.7"
"80","Saccharina sculpera","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Tsukudani"" (simmered in soy sauce and sugar)",9,"0","-","Sample: with sesame seeds","0.6","300","0","0.1","5300","300","130","140",NA,"250","Tr","9.5","450","56","56","0","0","4.7","150","20.6","33.299999999999997","0","6",NA,"0.06","56","0","6.8","168","704","0","0","0","11","0","Tr",NA,"0","98","5","Tr","Tr","Tr","1","Tr","47",NA,NA,"300","290","5","4","6","6","7","2","1","Tr","16","7","0","1","3","0","0","0","1","Tr","0","0",NA,NA,NA,NA,"0.32","0.33","0.16","0.9",NA,"0.81","0.32","0.02","0.31","0.33","0.16","15","0.1","1700","380","100","11000","1.3","210","340","1.0","230","98","0.46","77","19","Sample: with sesame seeds","0.6","1.0","0.12","220","120","770","270","6.0","4.5999999999999996","6.0","4.5999999999999996","Sample: with sesame seeds","0","5","0.05","7.4","3","230","2900","0.05","190","0.9","30","79","270","0","0.05","0","310","49.6","0.5"
"81","Saccharina diabolica","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Tsukudani"" (simmered in soy sauce and sugar)",9,"0","-","Sample: with sesame seeds","0.6","300","0","0.1","5300","300","130","140",NA,"250","Tr","9.5","450","56","56","0","0","4.7","150","20.6","33.299999999999997","0","6",NA,"0.06","56","0","6.8","168","704","0","0","0","11","0","Tr",NA,"0","98","5","Tr","Tr","Tr","1","Tr","47",NA,NA,"300","290","5","4","6","6","7","2","1","Tr","16","7","0","1","3","0","0","0","1","Tr","0","0",NA,NA,NA,NA,"0.32","0.33","0.16","0.9",NA,"0.81","0.32","0.02","0.31","0.33","0.16","15","0.1","1700","380","100","11000","1.3","210","340","1.0","230","98","0.46","77","19","Sample: with sesame seeds","0.6","1.0","0.12","220","120","770","270","6.0","4.5999999999999996","6.0","4.5999999999999996","Sample: with sesame seeds","0","5","0.05","7.4","3","230","2900","0.05","190","0.9","30","79","270","0","0.05","0","310","49.6","0.5"
"82","Saccharina angustata","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Tsukudani"" (simmered in soy sauce and sugar)",9,"0","-","Sample: with sesame seeds","0.6","300","0","0.1","5300","300","130","140",NA,"250","Tr","9.5","450","56","56","0","0","4.7","150","20.6","33.299999999999997","0","6",NA,"0.06","56","0","6.8","168","704","0","0","0","11","0","Tr",NA,"0","98","5","Tr","Tr","Tr","1","Tr","47",NA,NA,"300","290","5","4","6","6","7","2","1","Tr","16","7","0","1","3","0","0","0","1","Tr","0","0",NA,NA,NA,NA,"0.32","0.33","0.16","0.9",NA,"0.81","0.32","0.02","0.31","0.33","0.16","15","0.1","1700","380","100","11000","1.3","210","340","1.0","230","98","0.46","77","19","Sample: with sesame seeds","0.6","1.0","0.12","220","120","770","270","6.0","4.5999999999999996","6.0","4.5999999999999996","Sample: with sesame seeds","0","5","0.05","7.4","3","230","2900","0.05","190","0.9","30","79","270","0","0.05","0","310","49.6","0.5"
